customer_id,plan,segment,monthly_fee,start_date,churn_date
C0001,Growth,SMB,99,2025-05-01,
C0002,Enterprise,SMB,499,2025-02-01,
C0003,Professional,SMB,199,2025-10-01,2026-02-01
C0004,Growth,Mid-Market,99,2025-06-01,
C0005,Starter,Mid-Market,49,2025-01-01,
C0006,Starter,SMB,49,2025-09-01,
C0007,Professional,SMB,199,2025-04-01,
C0008,Starter,SMB,49,2025-06-01,
C0009,Growth,Enterprise,99,2025-08-01,
C0010,Starter,SMB,49,2025-03-01,
C0011,Professional,Mid-Market,199,2025-07-01,
C0012,Growth,SMB,99,2025-10-01,
C0013,Enterprise,Enterprise,499,2025-02-01,
C0014,Starter,SMB,49,2025-04-01,
C0015,Growth,Mid-Market,99,2025-05-01,
C0016,Professional,SMB,199,2025-08-01,
C0017,Starter,SMB,49,2025-07-01,
C0018,Enterprise,Enterprise,499,2025-03-01,
C0019,Growth,SMB,99,2025-09-01,
C0020,Professional,Mid-Market,199,2025-01-01,
C0021,Starter,SMB,49,2025-02-01,2025-05-01
C0022,Growth,SMB,99,2025-03-01,
C0023,Professional,Enterprise,199,2025-04-01,
C0024,Starter,Mid-Market,49,2025-05-01,
C0025,Growth,SMB,99,2025-06-01,
C0026,Professional,SMB,199,2025-07-01,
C0027,Starter,SMB,49,2025-08-01,
C0028,Enterprise,Enterprise,499,2025-09-01,
C0029,Growth,Mid-Market,99,2025-10-01,
C0030,Starter,SMB,49,2025-01-01,
C0031,Professional,SMB,199,2025-02-01,
C0032,Growth,SMB,99,2025-03-01,2025-07-01
C0033,Starter,Mid-Market,49,2025-04-01,
C0034,Professional,SMB,199,2025-05-01,
C0035,Growth,Enterprise,99,2025-06-01,
C0036,Starter,SMB,49,2025-07-01,
C0037,Enterprise,Enterprise,499,2025-08-01,
C0038,Professional,Mid-Market,199,2025-09-01,
C0039,Growth,SMB,99,2025-10-01,
C0040,Starter,SMB,49,2025-01-01,
C0041,Professional,SMB,199,2025-02-01,
C0042,Growth,Mid-Market,99,2025-03-01,
C0043,Starter,SMB,49,2025-04-01,2025-08-01
C0044,Enterprise,Enterprise,499,2025-05-01,
C0045,Professional,SMB,199,2025-06-01,
C0046,Growth,SMB,99,2025-07-01,
C0047,Starter,Mid-Market,49,2025-08-01,
C0048,Professional,Enterprise,199,2025-09-01,
C0049,Growth,SMB,99,2025-10-01,
C0050,Starter,SMB,49,2025-01-01,
C0051,Growth,SMB,99,2025-02-01,
C0052,Professional,Mid-Market,199,2025-03-01,
C0053,Starter,SMB,49,2025-04-01,
C0054,Enterprise,Enterprise,499,2025-05-01,
C0055,Growth,SMB,99,2025-06-01,
C0056,Professional,SMB,199,2025-07-01,
C0057,Starter,Mid-Market,49,2025-08-01,
C0058,Growth,Enterprise,99,2025-09-01,
C0059,Professional,SMB,199,2025-10-01,
C0060,Starter,SMB,49,2025-01-01,
C0061,Growth,SMB,99,2025-02-01,2025-06-01
C0062,Professional,Mid-Market,199,2025-03-01,
C0063,Starter,SMB,49,2025-04-01,
C0064,Enterprise,Enterprise,499,2025-05-01,
C0065,Growth,SMB,99,2025-06-01,
C0066,Professional,SMB,199,2025-07-01,
C0067,Starter,Mid-Market,49,2025-08-01,
C0068,Growth,SMB,99,2025-09-01,
C0069,Professional,Enterprise,199,2025-10-01,
C0070,Starter,SMB,49,2025-01-01,
C0071,Growth,Mid-Market,99,2025-02-01,
C0072,Professional,SMB,199,2025-03-01,
C0073,Starter,SMB,49,2025-04-01,2025-09-01
C0074,Enterprise,Enterprise,499,2025-05-01,
C0075,Growth,SMB,99,2025-06-01,
C0076,Professional,Mid-Market,199,2025-07-01,
C0077,Starter,SMB,49,2025-08-01,
C0078,Growth,Enterprise,99,2025-09-01,
C0079,Professional,SMB,199,2025-10-01,
C0080,Starter,SMB,49,2025-01-01,
C0081,Growth,Mid-Market,99,2025-02-01,
C0082,Professional,SMB,199,2025-03-01,
C0083,Starter,SMB,49,2025-04-01,
C0084,Enterprise,Enterprise,499,2025-05-01,
C0085,Growth,SMB,99,2025-06-01,2025-10-01
C0086,Professional,Mid-Market,199,2025-07-01,
C0087,Starter,SMB,49,2025-08-01,
C0088,Growth,SMB,99,2025-09-01,
C0089,Professional,Enterprise,199,2025-10-01,
C0090,Starter,SMB,49,2025-01-01,
C0091,Growth,Mid-Market,99,2025-02-01,
C0092,Professional,SMB,199,2025-03-01,
C0093,Starter,SMB,49,2025-04-01,
C0094,Enterprise,Enterprise,499,2025-05-01,
C0095,Growth,SMB,99,2025-06-01,
C0096,Professional,Mid-Market,199,2025-07-01,
C0097,Starter,SMB,49,2025-08-01,2025-12-01
C0098,Growth,Enterprise,99,2025-09-01,
C0099,Professional,SMB,199,2025-10-01,
C0100,Starter,SMB,49,2025-01-01,
